 &plot nbnd=   3, nks=   474 /
            0.000000  0.330391  0.000000
   -6.078   -2.777   -2.692
            0.000000  0.333728  0.000000
   -6.092   -2.773   -2.683
            0.000000  0.337066  0.000000
   -6.106   -2.769   -2.673
            0.000000  0.340403  0.000000
   -6.119   -2.764   -2.663
            0.000000  0.343740  0.000000
   -6.131   -2.760   -2.652
            0.000000  0.347078  0.000000
   -6.143   -2.755   -2.642
            0.000000  0.350415  0.000000
   -6.155   -2.750   -2.632
            0.000000  0.353752  0.000000
   -6.166   -2.744   -2.621
            0.000000  0.357089  0.000000
   -6.177   -2.739   -2.610
            0.000000  0.360427  0.000000
   -6.187   -2.733   -2.600
            0.000000  0.363764  0.000000
   -6.197   -2.727   -2.589
            0.000000  0.367101  0.000000
   -6.206   -2.721   -2.578
            0.000000  0.370439  0.000000
   -6.214   -2.715   -2.567
            0.000000  0.373776  0.000000
   -6.223   -2.708   -2.556
            0.000000  0.377113  0.000000
   -6.230   -2.701   -2.545
            0.000000  0.380450  0.000000
   -6.237   -2.694   -2.534
            0.000000  0.383788  0.000000
   -6.244   -2.687   -2.523
            0.000000  0.387125  0.000000
   -6.250   -2.680   -2.511
            0.000000  0.390462  0.000000
   -6.256   -2.673   -2.500
            0.000000  0.393800  0.000000
   -6.261   -2.665   -2.489
            0.000000  0.397137  0.000000
   -6.266   -2.658   -2.477
            0.000000  0.400474  0.000000
   -6.270   -2.650   -2.466
            0.000000  0.403811  0.000000
   -6.274   -2.642   -2.454
            0.000000  0.407149  0.000000
   -6.277   -2.634   -2.443
            0.000000  0.410486  0.000000
   -6.280   -2.626   -2.431
            0.000000  0.413823  0.000000
   -6.282   -2.618   -2.419
            0.000000  0.417161  0.000000
   -6.284   -2.609   -2.408
            0.000000  0.420498  0.000000
   -6.285   -2.601   -2.396
            0.000000  0.423835  0.000000
   -6.287   -2.593   -2.384
            0.000000  0.427172  0.000000
   -6.287   -2.584   -2.372
            0.000000  0.430510  0.000000
   -6.288   -2.576   -2.360
            0.000000  0.433847  0.000000
   -6.288   -2.567   -2.348
            0.000000  0.437184  0.000000
   -6.287   -2.559   -2.336
            0.000000  0.440522  0.000000
   -6.287   -2.550   -2.324
            0.000000  0.443859  0.000000
   -6.285   -2.542   -2.312
            0.000000  0.447196  0.000000
   -6.284   -2.533   -2.300
            0.000000  0.450533  0.000000
   -6.282   -2.524   -2.288
            0.000000  0.453871  0.000000
   -6.280   -2.516   -2.276
            0.000000  0.457208  0.000000
   -6.278   -2.507   -2.264
            0.000000  0.460545  0.000000
   -6.276   -2.499   -2.251
            0.000000  0.463883  0.000000
   -6.273   -2.491   -2.239
            0.000000  0.467220  0.000000
   -6.270   -2.482   -2.227
            0.000000  0.470557  0.000000
   -6.267   -2.474   -2.215
            0.000000  0.473894  0.000000
   -6.263   -2.466   -2.203
            0.000000  0.477232  0.000000
   -6.260   -2.458   -2.190
            0.000000  0.480569  0.000000
   -6.256   -2.450   -2.178
            0.000000  0.483906  0.000000
   -6.252   -2.443   -2.166
            0.000000  0.487244  0.000000
   -6.248   -2.435   -2.154
            0.000000  0.490581  0.000000
   -6.244   -2.428   -2.143
            0.000000  0.493918  0.000000
   -6.239   -2.420   -2.131
            0.000000  0.497255  0.000000
   -6.235   -2.413   -2.119
            0.000000  0.500593  0.000000
   -6.231   -2.406   -2.108
            0.000000  0.503930  0.000000
   -6.226   -2.399   -2.097
            0.000000  0.507267  0.000000
   -6.222   -2.393   -2.086
            0.000000  0.510605  0.000000
   -6.218   -2.387   -2.075
            0.000000  0.513942  0.000000
   -6.213   -2.380   -2.065
            0.000000  0.517279  0.000000
   -6.209   -2.375   -2.055
            0.000000  0.520616  0.000000
   -6.205   -2.369   -2.045
            0.000000  0.523954  0.000000
   -6.201   -2.364   -2.036
            0.000000  0.527291  0.000000
   -6.197   -2.359   -2.027
            0.000000  0.530628  0.000000
   -6.193   -2.354   -2.019
            0.000000  0.533966  0.000000
   -6.189   -2.349   -2.010
            0.000000  0.537303  0.000000
   -6.186   -2.345   -2.003
            0.000000  0.540640  0.000000
   -6.183   -2.341   -1.996
            0.000000  0.543977  0.000000
   -6.180   -2.337   -1.989
            0.000000  0.547315  0.000000
   -6.177   -2.334   -1.983
            0.000000  0.550652  0.000000
   -6.174   -2.331   -1.978
            0.000000  0.553989  0.000000
   -6.172   -2.328   -1.973
            0.000000  0.557327  0.000000
   -6.170   -2.326   -1.969
            0.000000  0.560664  0.000000
   -6.168   -2.324   -1.965
            0.000000  0.564001  0.000000
   -6.167   -2.323   -1.962
            0.000000  0.567338  0.000000
   -6.166   -2.321   -1.960
            0.000000  0.570676  0.000000
   -6.165   -2.320   -1.958
            0.000000  0.574013  0.000000
   -6.165   -2.320   -1.957
            0.000000  0.577350  0.000000
   -6.164   -2.320   -1.957
            0.003333  0.577350  0.000000
   -6.164   -2.320   -1.957
            0.006667  0.577350  0.000000
   -6.163   -2.320   -1.957
            0.010000  0.577350  0.000000
   -6.161   -2.321   -1.956
            0.013333  0.577350  0.000000
   -6.158   -2.322   -1.956
            0.016667  0.577350  0.000000
   -6.155   -2.323   -1.956
            0.020000  0.577350  0.000000
   -6.151   -2.325   -1.955
            0.023333  0.577350  0.000000
   -6.147   -2.327   -1.955
            0.026667  0.577350  0.000000
   -6.141   -2.329   -1.954
            0.030000  0.577350  0.000000
   -6.135   -2.332   -1.953
            0.033333  0.577350  0.000000
   -6.129   -2.334   -1.952
            0.036667  0.577350  0.000000
   -6.122   -2.337   -1.951
            0.040000  0.577350  0.000000
   -6.114   -2.341   -1.949
            0.043333  0.577350  0.000000
   -6.106   -2.345   -1.947
            0.046667  0.577350  0.000000
   -6.098   -2.349   -1.946
            0.050000  0.577350  0.000000
   -6.089   -2.353   -1.944
            0.053333  0.577350  0.000000
   -6.080   -2.358   -1.941
            0.056667  0.577350  0.000000
   -6.070   -2.363   -1.939
            0.060000  0.577350  0.000000
   -6.061   -2.368   -1.936
            0.063333  0.577350  0.000000
   -6.051   -2.374   -1.933
            0.066667  0.577350  0.000000
   -6.040   -2.381   -1.929
            0.070000  0.577350  0.000000
   -6.030   -2.387   -1.925
            0.073333  0.577350  0.000000
   -6.020   -2.395   -1.921
            0.076667  0.577350  0.000000
   -6.009   -2.402   -1.916
            0.080000  0.577350  0.000000
   -5.998   -2.410   -1.911
            0.083333  0.577350  0.000000
   -5.988   -2.419   -1.906
            0.086667  0.577350  0.000000
   -5.977   -2.428   -1.900
            0.090000  0.577350  0.000000
   -5.966   -2.437   -1.894
            0.093333  0.577350  0.000000
   -5.956   -2.447   -1.888
            0.096667  0.577350  0.000000
   -5.945   -2.458   -1.881
            0.100000  0.577350  0.000000
   -5.934   -2.469   -1.874
            0.103333  0.577350  0.000000
   -5.923   -2.480   -1.867
            0.106667  0.577350  0.000000
   -5.913   -2.492   -1.859
            0.110000  0.577350  0.000000
   -5.902   -2.504   -1.851
            0.113333  0.577350  0.000000
   -5.891   -2.517   -1.842
            0.116667  0.577350  0.000000
   -5.881   -2.531   -1.833
            0.120000  0.577350  0.000000
   -5.870   -2.545   -1.824
            0.123333  0.577350  0.000000
   -5.860   -2.559   -1.815
            0.126667  0.577350  0.000000
   -5.849   -2.574   -1.806
            0.130000  0.577350  0.000000
   -5.839   -2.589   -1.796
            0.133333  0.577350  0.000000
   -5.828   -2.605   -1.786
            0.136667  0.577350  0.000000
   -5.818   -2.621   -1.776
            0.140000  0.577350  0.000000
   -5.807   -2.637   -1.766
            0.143333  0.577350  0.000000
   -5.797   -2.654   -1.755
            0.146667  0.577350  0.000000
   -5.786   -2.671   -1.745
            0.150000  0.577350  0.000000
   -5.775   -2.689   -1.734
            0.153333  0.577350  0.000000
   -5.765   -2.707   -1.723
            0.156667  0.577350  0.000000
   -5.754   -2.725   -1.712
            0.160000  0.577350  0.000000
   -5.743   -2.744   -1.701
            0.163333  0.577350  0.000000
   -5.732   -2.762   -1.690
            0.166667  0.577350  0.000000
   -5.721   -2.781   -1.679
            0.170000  0.577350  0.000000
   -5.710   -2.801   -1.668
            0.173333  0.577350  0.000000
   -5.698   -2.820   -1.656
            0.176667  0.577350  0.000000
   -5.687   -2.840   -1.645
            0.180000  0.577350  0.000000
   -5.676   -2.860   -1.633
            0.183333  0.577350  0.000000
   -5.664   -2.880   -1.622
            0.186667  0.577350  0.000000
   -5.652   -2.901   -1.610
            0.190000  0.577350  0.000000
   -5.640   -2.921   -1.598
            0.193333  0.577350  0.000000
   -5.628   -2.942   -1.586
            0.196667  0.577350  0.000000
   -5.616   -2.962   -1.575
            0.200000  0.577350  0.000000
   -5.604   -2.983   -1.563
            0.203333  0.577350  0.000000
   -5.592   -3.004   -1.551
            0.206667  0.577350  0.000000
   -5.580   -3.024   -1.539
            0.210000  0.577350  0.000000
   -5.567   -3.045   -1.527
            0.213333  0.577350  0.000000
   -5.555   -3.066   -1.515
            0.216667  0.577350  0.000000
   -5.542   -3.087   -1.502
            0.220000  0.577350  0.000000
   -5.530   -3.107   -1.490
            0.223333  0.577350  0.000000
   -5.517   -3.128   -1.478
            0.226667  0.577350  0.000000
   -5.505   -3.148   -1.466
            0.230000  0.577350  0.000000
   -5.492   -3.169   -1.454
            0.233333  0.577350  0.000000
   -5.480   -3.189   -1.441
            0.236667  0.577350  0.000000
   -5.467   -3.209   -1.429
            0.240000  0.577350  0.000000
   -5.455   -3.228   -1.417
            0.243333  0.577350  0.000000
   -5.442   -3.248   -1.405
            0.246667  0.577350  0.000000
   -5.430   -3.267   -1.393
            0.250000  0.577350  0.000000
   -5.418   -3.286   -1.381
            0.253333  0.577350  0.000000
   -5.406   -3.305   -1.369
            0.256667  0.577350  0.000000
   -5.395   -3.323   -1.357
            0.260000  0.577350  0.000000
   -5.383   -3.341   -1.346
            0.263333  0.577350  0.000000
   -5.372   -3.358   -1.335
            0.266667  0.577350  0.000000
   -5.360   -3.375   -1.323
            0.270000  0.577350  0.000000
   -5.349   -3.392   -1.313
            0.273333  0.577350  0.000000
   -5.339   -3.408   -1.302
            0.276667  0.577350  0.000000
   -5.329   -3.423   -1.292
            0.280000  0.577350  0.000000
   -5.319   -3.438   -1.282
            0.283333  0.577350  0.000000
   -5.309   -3.452   -1.273
            0.286667  0.577350  0.000000
   -5.300   -3.466   -1.264
            0.290000  0.577350  0.000000
   -5.291   -3.479   -1.255
            0.293333  0.577350  0.000000
   -5.282   -3.491   -1.247
            0.296667  0.577350  0.000000
   -5.274   -3.502   -1.240
            0.300000  0.577350  0.000000
   -5.267   -3.513   -1.233
            0.303333  0.577350  0.000000
   -5.260   -3.522   -1.226
            0.306667  0.577350  0.000000
   -5.253   -3.531   -1.220
            0.310000  0.577350  0.000000
   -5.248   -3.539   -1.215
            0.313333  0.577350  0.000000
   -5.242   -3.546   -1.211
            0.316667  0.577350  0.000000
   -5.238   -3.552   -1.207
            0.320000  0.577350  0.000000
   -5.234   -3.557   -1.204
            0.323333  0.577350  0.000000
   -5.231   -3.561   -1.202
            0.326667  0.577350  0.000000
   -5.229   -3.564   -1.200
            0.330000  0.577350  0.000000
   -5.227   -3.566   -1.199
            0.333333  0.577350  0.000000
   -5.226   -3.566   -1.199
            0.336667  0.577350  0.000000
   -5.226   -3.566   -1.200
            0.340000  0.577350  0.000000
   -5.227   -3.564   -1.202
            0.343333  0.577350  0.000000
   -5.229   -3.561   -1.204
            0.346667  0.577350  0.000000
   -5.231   -3.557   -1.207
            0.350000  0.577350  0.000000
   -5.234   -3.552   -1.212
            0.353333  0.577350  0.000000
   -5.238   -3.545   -1.217
            0.356667  0.577350  0.000000
   -5.243   -3.538   -1.222
            0.360000  0.577350  0.000000
   -5.249   -3.529   -1.229
            0.363333  0.577350  0.000000
   -5.256   -3.520   -1.237
            0.366667  0.577350  0.000000
   -5.263   -3.509   -1.245
            0.370000  0.577350  0.000000
   -5.271   -3.497   -1.254
            0.373333  0.577350  0.000000
   -5.280   -3.485   -1.264
            0.376667  0.577350  0.000000
   -5.290   -3.471   -1.275
            0.380000  0.577350  0.000000
   -5.300   -3.457   -1.286
            0.383333  0.577350  0.000000
   -5.311   -3.441   -1.299
            0.386667  0.577350  0.000000
   -5.322   -3.425   -1.312
            0.390000  0.577350  0.000000
   -5.334   -3.408   -1.326
            0.393333  0.577350  0.000000
   -5.347   -3.391   -1.340
            0.396667  0.577350  0.000000
   -5.360   -3.373   -1.355
            0.400000  0.577350  0.000000
   -5.373   -3.354   -1.371
            0.403333  0.577350  0.000000
   -5.387   -3.335   -1.388
            0.406667  0.577350  0.000000
   -5.401   -3.315   -1.405
            0.410000  0.577350  0.000000
   -5.415   -3.295   -1.422
            0.413333  0.577350  0.000000
   -5.430   -3.275   -1.441
            0.416667  0.577350  0.000000
   -5.445   -3.254   -1.460
            0.420000  0.577350  0.000000
   -5.460   -3.234   -1.479
            0.423333  0.577350  0.000000
   -5.475   -3.213   -1.499
            0.426667  0.577350  0.000000
   -5.491   -3.192   -1.519
            0.430000  0.577350  0.000000
   -5.506   -3.171   -1.539
            0.433333  0.577350  0.000000
   -5.522   -3.150   -1.560
            0.436667  0.577350  0.000000
   -5.537   -3.129   -1.581
            0.440000  0.577350  0.000000
   -5.552   -3.108   -1.603
            0.443333  0.577350  0.000000
   -5.568   -3.088   -1.625
            0.446667  0.577350  0.000000
   -5.583   -3.068   -1.646
            0.450000  0.577350  0.000000
   -5.599   -3.048   -1.669
            0.453333  0.577350  0.000000
   -5.614   -3.028   -1.691
            0.456667  0.577350  0.000000
   -5.629   -3.009   -1.713
            0.460000  0.577350  0.000000
   -5.644   -2.990   -1.735
            0.463333  0.577350  0.000000
   -5.658   -2.972   -1.757
            0.466667  0.577350  0.000000
   -5.673   -2.954   -1.779
            0.470000  0.577350  0.000000
   -5.687   -2.937   -1.801
            0.473333  0.577350  0.000000
   -5.702   -2.920   -1.823
            0.476667  0.577350  0.000000
   -5.716   -2.904   -1.845
            0.480000  0.577350  0.000000
   -5.729   -2.889   -1.866
            0.483333  0.577350  0.000000
   -5.743   -2.875   -1.887
            0.486667  0.577350  0.000000
   -5.756   -2.861   -1.907
            0.490000  0.577350  0.000000
   -5.769   -2.849   -1.927
            0.493333  0.577350  0.000000
   -5.782   -2.837   -1.947
            0.496667  0.577350  0.000000
   -5.795   -2.827   -1.966
            0.500000  0.577350  0.000000
   -5.807   -2.817   -1.984
            0.503333  0.577350  0.000000
   -5.819   -2.809   -2.002
            0.506667  0.577350  0.000000
   -5.831   -2.801   -2.018
            0.510000  0.577350  0.000000
   -5.843   -2.795   -2.035
            0.513333  0.577350  0.000000
   -5.854   -2.790   -2.050
            0.516667  0.577350  0.000000
   -5.865   -2.787   -2.064
            0.520000  0.577350  0.000000
   -5.876   -2.784   -2.078
            0.523333  0.577350  0.000000
   -5.886   -2.783   -2.091
            0.526667  0.577350  0.000000
   -5.896   -2.783   -2.102
            0.530000  0.577350  0.000000
   -5.906   -2.784   -2.113
            0.533333  0.577350  0.000000
   -5.915   -2.787   -2.124
            0.536667  0.577350  0.000000
   -5.924   -2.790   -2.133
            0.540000  0.577350  0.000000
   -5.933   -2.795   -2.142
            0.543333  0.577350  0.000000
   -5.942   -2.800   -2.150
            0.546667  0.577350  0.000000
   -5.950   -2.807   -2.157
            0.550000  0.577350  0.000000
   -5.957   -2.814   -2.164
            0.553333  0.577350  0.000000
   -5.965   -2.822   -2.170
            0.556667  0.577350  0.000000
   -5.972   -2.831   -2.177
            0.560000  0.577350  0.000000
   -5.978   -2.840   -2.182
            0.563333  0.577350  0.000000
   -5.985   -2.850   -2.188
            0.566667  0.577350  0.000000
   -5.990   -2.861   -2.193
            0.570000  0.577350  0.000000
   -5.996   -2.871   -2.198
            0.573333  0.577350  0.000000
   -6.001   -2.882   -2.204
            0.576667  0.577350  0.000000
   -6.005   -2.893   -2.209
            0.580000  0.577350  0.000000
   -6.010   -2.904   -2.214
            0.583333  0.577350  0.000000
   -6.013   -2.916   -2.219
            0.586667  0.577350  0.000000
   -6.016   -2.927   -2.225
            0.590000  0.577350  0.000000
   -6.019   -2.938   -2.231
            0.593333  0.577350  0.000000
   -6.022   -2.949   -2.237
            0.596667  0.577350  0.000000
   -6.023   -2.960   -2.243
            0.600000  0.577350  0.000000
   -6.025   -2.971   -2.249
            0.603333  0.577350  0.000000
   -6.026   -2.982   -2.256
            0.606667  0.577350  0.000000
   -6.026   -2.992   -2.263
            0.610000  0.577350  0.000000
   -6.026   -3.003   -2.270
            0.613333  0.577350  0.000000
   -6.025   -3.013   -2.278
            0.616667  0.577350  0.000000
   -6.024   -3.022   -2.285
            0.620000  0.577350  0.000000
   -6.023   -3.031   -2.293
            0.623333  0.577350  0.000000
   -6.021   -3.040   -2.302
            0.626667  0.577350  0.000000
   -6.018   -3.049   -2.310
            0.630000  0.577350  0.000000
   -6.015   -3.057   -2.319
            0.633333  0.577350  0.000000
   -6.011   -3.064   -2.328
            0.636667  0.577350  0.000000
   -6.007   -3.072   -2.337
            0.640000  0.577350  0.000000
   -6.003   -3.078   -2.347
            0.643333  0.577350  0.000000
   -5.998   -3.085   -2.357
            0.646667  0.577350  0.000000
   -5.992   -3.091   -2.366
            0.650000  0.577350  0.000000
   -5.986   -3.096   -2.376
            0.653333  0.577350  0.000000
   -5.979   -3.101   -2.386
            0.656667  0.577350  0.000000
   -5.972   -3.106   -2.396
            0.660000  0.577350  0.000000
   -5.965   -3.110   -2.407
            0.663333  0.577350  0.000000
   -5.957   -3.114   -2.417
            0.666667  0.577350  0.000000
   -5.949   -3.117   -2.427
            0.670000  0.577350  0.000000
   -5.940   -3.120   -2.438
            0.673333  0.577350  0.000000
   -5.930   -3.122   -2.448
            0.676667  0.577350  0.000000
   -5.920   -3.124   -2.459
            0.680000  0.577350  0.000000
   -5.910   -3.126   -2.469
            0.683333  0.577350  0.000000
   -5.900   -3.127   -2.479
            0.686667  0.577350  0.000000
   -5.889   -3.127   -2.489
            0.690000  0.577350  0.000000
   -5.877   -3.127   -2.500
            0.693333  0.577350  0.000000
   -5.865   -3.127   -2.510
            0.696667  0.577350  0.000000
   -5.853   -3.127   -2.520
            0.700000  0.577350  0.000000
   -5.840   -3.125   -2.529
            0.703333  0.577350  0.000000
   -5.828   -3.124   -2.539
            0.706667  0.577350  0.000000
   -5.814   -3.122   -2.548
            0.710000  0.577350  0.000000
   -5.801   -3.120   -2.558
            0.713333  0.577350  0.000000
   -5.787   -3.118   -2.567
            0.716667  0.577350  0.000000
   -5.772   -3.115   -2.576
            0.720000  0.577350  0.000000
   -5.758   -3.112   -2.585
            0.723333  0.577350  0.000000
   -5.743   -3.108   -2.593
            0.726667  0.577350  0.000000
   -5.728   -3.105   -2.601
            0.730000  0.577350  0.000000
   -5.712   -3.101   -2.610
            0.733333  0.577350  0.000000
   -5.697   -3.097   -2.617
            0.736667  0.577350  0.000000
   -5.681   -3.092   -2.625
            0.740000  0.577350  0.000000
   -5.665   -3.087   -2.632
            0.743333  0.577350  0.000000
   -5.648   -3.082   -2.639
            0.746667  0.577350  0.000000
   -5.632   -3.077   -2.646
            0.750000  0.577350  0.000000
   -5.615   -3.072   -2.653
            0.753333  0.577350  0.000000
   -5.599   -3.066   -2.659
            0.756667  0.577350  0.000000
   -5.582   -3.061   -2.665
            0.760000  0.577350  0.000000
   -5.565   -3.055   -2.671
            0.763333  0.577350  0.000000
   -5.548   -3.049   -2.676
            0.766667  0.577350  0.000000
   -5.531   -3.043   -2.681
            0.770000  0.577350  0.000000
   -5.513   -3.037   -2.686
            0.773333  0.577350  0.000000
   -5.496   -3.030   -2.690
            0.776667  0.577350  0.000000
   -5.479   -3.024   -2.694
            0.780000  0.577350  0.000000
   -5.462   -3.017   -2.698
            0.783333  0.577350  0.000000
   -5.445   -3.011   -2.701
            0.786667  0.577350  0.000000
   -5.428   -3.004   -2.704
            0.790000  0.577350  0.000000
   -5.411   -2.997   -2.707
            0.793333  0.577350  0.000000
   -5.394   -2.990   -2.710
            0.796667  0.577350  0.000000
   -5.377   -2.983   -2.712
            0.800000  0.577350  0.000000
   -5.360   -2.976   -2.713
            0.803333  0.577350  0.000000
   -5.343   -2.969   -2.715
            0.806667  0.577350  0.000000
   -5.327   -2.962   -2.716
            0.810000  0.577350  0.000000
   -5.311   -2.955   -2.717
            0.813333  0.577350  0.000000
   -5.295   -2.948   -2.717
            0.816667  0.577350  0.000000
   -5.279   -2.940   -2.717
            0.820000  0.577350  0.000000
   -5.263   -2.933   -2.717
            0.823333  0.577350  0.000000
   -5.248   -2.925   -2.717
            0.826667  0.577350  0.000000
   -5.233   -2.918   -2.716
            0.830000  0.577350  0.000000
   -5.218   -2.910   -2.715
            0.833333  0.577350  0.000000
   -5.203   -2.903   -2.713
            0.836667  0.577350  0.000000
   -5.189   -2.895   -2.711
            0.840000  0.577350  0.000000
   -5.175   -2.888   -2.710
            0.843333  0.577350  0.000000
   -5.161   -2.880   -2.707
            0.846667  0.577350  0.000000
   -5.148   -2.872   -2.705
            0.850000  0.577350  0.000000
   -5.135   -2.864   -2.702
            0.853333  0.577350  0.000000
   -5.122   -2.856   -2.699
            0.856667  0.577350  0.000000
   -5.109   -2.848   -2.696
            0.860000  0.577350  0.000000
   -5.097   -2.840   -2.693
            0.863333  0.577350  0.000000
   -5.085   -2.832   -2.690
            0.866667  0.577350  0.000000
   -5.074   -2.824   -2.686
            0.870000  0.577350  0.000000
   -5.063   -2.815   -2.683
            0.873333  0.577350  0.000000
   -5.052   -2.807   -2.679
