 &plot nbnd=  13, nks=   474 /
  -19.740  -18.308  -11.245   -8.831   -8.034   -7.483   -8.196   -6.971   -5.054   -2.679
   -2.805   -2.730   -2.331
            0.000000  0.130154  0.000000
  -19.732  -18.306  -11.235   -8.853   -8.055   -7.495   -8.189   -6.968   -5.065   -2.683
   -2.813   -2.729   -2.314
            0.000000  0.133491  0.000000
  -19.723  -18.303  -11.224   -8.876   -8.075   -7.508   -8.181   -6.967   -5.076   -2.688
   -2.820   -2.728   -2.298
            0.000000  0.136829  0.000000
  -19.714  -18.300  -11.213   -8.900   -8.096   -7.520   -8.174   -6.965   -5.088   -2.692
   -2.826   -2.726   -2.281
            0.000000  0.140166  0.000000
  -19.705  -18.298  -11.203   -8.923   -8.117   -7.533   -8.166   -6.964   -5.100   -2.696
   -2.833   -2.724   -2.264
            0.000000  0.143503  0.000000
  -19.695  -18.295  -11.191   -8.947   -8.138   -7.546   -8.158   -6.963   -5.113   -2.701
   -2.839   -2.722   -2.246
            0.000000  0.146841  0.000000
  -19.686  -18.292  -11.180   -8.971   -8.159   -7.559   -8.149   -6.963   -5.126   -2.705
   -2.845   -2.719   -2.229
            0.000000  0.150178  0.000000
  -19.676  -18.289  -11.169   -8.996   -8.181   -7.572   -8.141   -6.963   -5.139   -2.710
   -2.851   -2.716   -2.211
            0.000000  0.153515  0.000000
  -19.666  -18.286  -11.157   -9.020   -8.202   -7.585   -8.133   -6.963   -5.152   -2.714
   -2.856   -2.713   -2.193
            0.000000  0.156852  0.000000
  -19.656  -18.283  -11.145   -9.045   -8.223   -7.599   -8.124   -6.963   -5.166   -2.718
   -2.861   -2.709   -2.175
            0.000000  0.160190  0.000000
  -19.646  -18.280  -11.133   -9.070   -8.245   -7.612   -8.115   -6.964   -5.181   -2.723
   -2.866   -2.705   -2.157
            0.000000  0.163527  0.000000
  -19.636  -18.277  -11.121   -9.095   -8.267   -7.626   -8.106   -6.965   -5.195   -2.727
   -2.870   -2.700   -2.138
            0.000000  0.166864  0.000000
  -19.625  -18.274  -11.108   -9.120   -8.288   -7.640   -8.097   -6.967   -5.210   -2.731
