 0  0  1.176 0.0000 0.0017
 0  1  1.171 0.0000 0.0020
 0  2  1.155 0.0000 0.0026
 0  3  1.129 0.0000 0.0034
 0  4  1.093 0.0000 0.0043
 0  5  1.049 0.0000 0.0052
 0  6  0.997 0.0000 0.0062
 0  7  0.940 0.0000 0.0071
 0  8  0.878 0.0000 0.0081
 0  9  0.813 0.0000 0.0091
 0 10  0.748 0.0000 0.0101
 0 11  0.684 0.0000 0.0111
 0 12  0.622 0.0000 0.0120
 0 13  0.563 0.0000 0.0129
 0 14  0.510 0.0000 0.0138
 0 15  0.462 0.0000 0.0146
 0 16  0.420 0.0000 0.0154
 0 17  0.383 0.0000 0.0162
 0 18  0.353 0.0265 0.0170
 0 19  0.329 0.0270 0.0177
 0 20  0.311 0.0274 0.0183
 0 21  0.298 0.0277 0.0186
 0 22  0.291 0.0279 0.0188
 0 23  0.289 0.0280 0.0188
 0 24  0.293 0.0281 0.0186
 0 25  0.301 0.0280 0.0183
 0 26  0.315 0.0279 0.0180
 0 27  0.333 0.0277 0.0176
 0 28  0.356 0.0274 0.0171
 0 29  0.384 0.0270 0.0168
 0 30  0.414 0.0265 0.0165
 0 31  0.424 0.0000 0.0056
 0 32  0.416 0.0000 0.0015
 0 33  0.410 0.0000 0.0052
 0 34  0.407 0.0000 0.0085
 0 35  0.406 0.0000 0.0094
 0 36  0.408 0.0000 0.0095
 0 37  0.411 0.0000 0.0092
 0 38  0.417 0.0000 0.0088
 0 39  0.423 0.0000 0.0082
 0 40  0.430 0.0000 0.0075
 0 41  0.437 0.0000 0.0067
 0 42  0.444 0.0000 0.0059
 0 43  0.450 0.0000 0.0051
 0 44  0.456 0.0000 0.0042
 0 45  0.460 0.0000 0.0033
 0 46  0.463 0.0000 0.0025
 0 47  0.465 0.0000 0.0018
 0 48  0.466 0.0000 0.0016
 0 49  0.465 0.0000 0.0018
 0 50  0.463 0.0000 0.0025
 0 51  0.460 0.0000 0.0033
 0 52  0.456 0.0000 0.0042
 0 53  0.450 0.0000 0.0051
 0 54  0.444 0.0000 0.0059
 0 55  0.437 0.0000 0.0067
 0 56  0.430 0.0000 0.0075
 0 57  0.423 0.0000 0.0082
 0 58  0.417 0.0000 0.0088
 0 59  0.411 0.0000 0.0092
 0 60  0.408 0.0000 0.0095
 0 61  0.406 0.0000 0.0094
 0 62  0.407 0.0000 0.0085
 0 63  0.410 0.0000 0.0052
 0 64  0.416 0.0000 0.0015
 0 65  0.424 0.0000 0.0056
 0 66  0.414 0.0265 0.0165
 0 67  0.384 0.0270 0.0168
 0 68  0.356 0.0274 0.0171
 0 69  0.333 0.0277 0.0176
 0 70  0.315 0.0279 0.0180
 0 71  0.301 0.0280 0.0183
 0 72  0.293 0.0281 0.0186
 0 73  0.289 0.0280 0.0188
 0 74  0.291 0.0279 0.0188
 0 75  0.298 0.0277 0.0186
 0 76  0.311 0.0274 0.0183
 0 77  0.329 0.0270 0.0177
 0 78  0.353 0.0265 0.0170
 0 79  0.383 0.0000 0.0162
 0 80  0.420 0.0000 0.0154
 0 81  0.462 0.0000 0.0146
 0 82  0.510 0.0000 0.0138
 0 83  0.563 0.0000 0.0129
 0 84  0.622 0.0000 0.0120
 0 85  0.684 0.0000 0.0111
 0 86  0.748 0.0000 0.0101
 0 87  0.813 0.0000 0.0091
 0 88  0.878 0.0000 0.0081
 0 89  0.940 0.0000 0.0071
 0 90  0.997 0.0000 0.0062
 0 91  1.049 0.0000 0.0052
 0 92  1.093 0.0000 0.0043
 0 93  1.129 0.0000 0.0034
 0 94  1.155 0.0000 0.0026
 0 95  1.171 0.0000 0.0020
 1  0  1.170 0.0110 0.0024
 1  1  1.160 0.0074 0.0007
 1  2  1.139 0.0052 0.0013
 1  3  1.109 0.0042 0.0026
 1  4  1.069 0.0037 0.0037
 1  5  1.021 0.0034 0.0048
 1  6  0.967 0.0032 0.0059
 1  7  0.907 0.0030 0.0070
 1  8  0.844 0.0028 0.0080
 1  9  0.779 0.0025 0.0090
 1 10  0.714 0.0023 0.0099
 1 11  0.651 0.0021 0.0108
 1 12  0.591 0.0020 0.0117
